summary	count	mean	stddev	min	0,25	0,5	0,75	0,9	0,95	0,96	0,97	0,98	0,99	max
ps0	49742	1456,2	338,1	1197	1406	1407	1459	1510	1511	1511	1563	1614	1979	18698
ps1	49418	1437,8	235,1	1146	1406	1407	1458	1510	1511	1562	1563	1615	1823	17656
psm	49799	1452,0	279,4	1197	1406	1458	1459	1510	1511	1511	1562	1563	1979	17657
pt0	49653	1911,5	295,8	1614	1823	1875	1927	1980	2032	2032	2083	2135	2448	17343
pt1	49431	1909,5	398,2	1563	1823	1875	1927	1979	2031	2032	2083	2188	3073	16979
ptm	49873	1894,9	394,2	1614	1823	1875	1875	1927	1979	1980	2031	2084	3125	17865
pw0	49004	12555,3	2083,8	11563	12084	12239	12396	12761	13334	13490	13751	18750	21615	80526
pw1	49107	12577,6	2376,9	11562	12084	12240	12447	12760	13177	13386	13854	18646	23490	259583
pwm	49346	12491,7	1968,3	11562	12083	12187	12344	12656	13073	13334	13645	18490	19323	86198
rs0	49976	1151,0	650,3	833	1041	1042	1094	1146	1198	1302	1615	2187	6041	15156
rs1	49627	1097,2	1120,7	782	937	938	990	1042	1823	1875	1927	3125	5833	191821
rsm	49682	1078,0	722,0	781	937	938	990	1042	1146	1198	1354	3229	5937	19375
rt0	49634	1273,4	728,1	625	1145	1146	1198	1302	1406	1458	1511	3385	6250	34998
rt1	49619	1303,5	764,6	938	1145	1146	1198	1302	1927	2240	2344	3230	6251	25834
rtm	36181	1336,4	887,4	573	1146	1146	1250	1406	2187	2292	2447	3385	6198	45260
rw0	49834	8530,8	2030,3	7604	8021	8124	8229	8489	11823	12761	15990	16250	16667	84635
rw1	49962	8769,7	4936,9	5730	8073	8177	8802	9011	9896	12709	16094	16875	18021	983798
rwm	43750	9468,2	35462,6	5156	8750	8854	8958	9218	9791	10053	14011	17761	18282	4153458
